id,name,forme,type1,type2,hp,atk,def,spa,spd,spe,ability0,ability1,abilityH,kind,heightm,weightkg,signatureMove,description1,description2,prevo,evo,evoMethod
synthecyte,Synthecyte,,Psychic,,30,30,30,30,30,30,Normalize,,,Parasite,0.3,0.5,,"In deep space, Synthecyte fuse together to form a single, massive organism. Together, they travel through the cosmos, feeding on the energy of stars and planets.","Its DNA is highly adaptable, allowing it to merge with other lifeforms. It seeks out strong species to assimilate, using their power to further its own evolution.",,,
fawnna,Fawnna,,Grass,,45,65,50,40,55,63,Overgrow,,Steadfast,Crested,0.4,6,,"Incredibly timid, Fawnna hide deep within dense bamboo and copihue groves. If they sense danger, they freeze completely, hoping the flower buds on their heads blend into the brush.","The twin buds on its head absorb solar energy to keep it warm. When it feels completely safe around its Trainer, the buds emit a soft, comforting glow and a sweet, calming scent.",,fawliage,
fawliage,Fawliage,,Grass,,60,85,65,55,70,83,Overgrow,,Steadfast,Crested,0.9,22.5,,"Having grown more confident, Fawliage actively patrols its territory. It wears a thick poncho of leaves that acts as a solar panel, channeling energy into its rapidly growing wooden antlers.","It takes immense pride in its appearance, spending hours grooming its foliage. It practices martial discipline by using its bark-covered rear legs to deliver precise, swift kicks against tree trunks.",fawnna,dynastag,Level 16
dynastag,Dynastag,,Grass,Fighting,75,121,75,60,82,117,Overgrow,,Sharpness,Crested,1.7,68,Swift Riposte,"With an air of absolute nobility, Dynastag rules over its forest domain. It uses its hardened wooden cane with the flawless grace of a master fencer, deflecting enemy attacks with a single, effortless parry.","When it shakes its elegant, ornate antlers, the delicate bell-flowers ring out a rhythmic chime. This sound relaxes allies, but to its enemies, it is the chilling signal that a duel has begun.",fawliage,,Level 36
pumace,Pumace,,Fire,,55,65,45,50,48,55,Blaze,,Sand Rush,Prowler,0.4,5.5,,"It inhabits arid badlands and volcanic crags, using the dark, ash-colored fur on its face to shield its eyes from intense desert sun glare. It tracks prey patiently through clouds of dust.","Highly alert, Pumace constantly monitors shifting geothermal currents beneath its paws. If cornered, it beats its tail against the parched earth to create a blinding smokescreen of ash.",,pyroncho,
pyroncho,Pyroncho,,Fire,,80,85,65,55,70,65,Blaze,,Sand Rush,Prowler,1,26,,The thick poncho around its neck is formed from compressed stone that perfectly insulates its intense internal heat. Volcanic vents protruding from its back constantly billow out heavy smoke to conceal its presence.,"It keeps its front paws hidden beneath its heavy coat, making its quick-striking embers completely unpredictable. It uses the sharp, brim-like fur on its head to shield its eyes from falling volcanic ash.",pumace,smoldero,Level 16
smoldero,Smoldero,,Fire,Ground,90,120,85,65,85,85,Blaze,,Sand Rush,Prowler,1.6,88.5,Desperado Strike,"Known as the lawless apex of the volcanic plains, Smoldero commands absolute authority with a menacing glare. The three whip-like tails on its back hold superheated obsidian stones that it hurls with lethal, pinpoint accuracy.","Its stone-like greaves are formed from layers of cooled, hardened magma, protecting its legs during high-speed pursuits. Its glowing, fiery fangs can melt through solid iron, leaving molten scorch marks on anything it bites.",pyroncho,,Level 36
sealor,Sealor,,Water,,65,60,65,45,50,33,Torrent,,Oblivious,Naval,0.5,8.2,,"It wears a star-shaped mark on its chest with immense pride, eagerly following the orders of older, more experienced Pokémon.","Despite its clumsy movements on land, it diligently salutes with its flippers to show respect. The thick white fur on its head keeps it warm in freezing ocean currents.",,enseal,
enseal,Enseal,,Water,,85,75,85,65,70,40,Torrent,,Oblivious,Naval,1.2,32.5,,"Known for its strict discipline, it commands its pod with crisp, sharp barks. The yellow band around its neck acts as a biological flotation device during turbulent storms.","It stands at attention on jagged coastal rocks, constantly surveying the ocean for signs of danger. Its sleek blue body is built to navigate treacherous waters with ease.",sealor,brigantide,Level 16
brigantide,Brigantide,,Water,Steel,110,105,110,70,85,50,Torrent,,Intimidate,Naval,2.1,145,Hull Press,"A legendary commander of the seas, its heavy, steel claws can shred through the hulls of ships. The iron plating on its chest acts as an impenetrable breastplate against enemy attacks.","It governs massive pods of Sealor and Enseal with unyielding strictness, communicating complex tactical formations through deep, rumbling barks. To withstand extreme deep-sea pressure, it continuously absorbs iron from the ocean floor to naturally harden its body.",enseal,,Level 36
panacha,Panacha,,Normal,,55,40,55,35,55,40,Thick Fat,Run Away,Gluttony,Doughy,0.4,9.5,,"Its long, upright ears mimic the shape of wheat stalks to blend into tall grass. It spends hours resting in the harsh sun, allowing its starchy saliva coating to form a light, protective crust over its fur.","A highly relaxed Pokémon native to rocky foothills. It mixes wild grains with mineral-rich volcanic soil in its cheek pouches to create a thick dough paste, which it uses to reinforce its burrow against predators.",,marracacha,
